心境,nsym
低落,vdescription 
情感,nsym
情绪,nsym
抑郁,asym
悲观,asym
闷闷不乐,isym
愉快感,nsym 
兴趣,nsym
减退,vdescription 
痛不欲生,isym
悲观,asym
绝望,vsym
度日如年,isym 
生不如死, isym 
自我评价,nsym
降低,vdescription  
无用感,nsym
无望感,nsym 
无助感,nsym
无价值感,nsym
自责,vsym
自虐,vsym
去死,vsym
自罪,vsym
妄想,vsym
疑病,vsym
幻觉,nsym
没有希望,nsym  
思维,nsym
思维纷乱,isym
迟缓,vdescription 
联想速度,nsym
缓慢,vdescription 
反应,nsym
唉声叹气,isym
迟钝,vdescription
思路,nsym
闭塞,vdescription
脑子,nsym
生锈,vsym  
言语,nsym
减少,vdescription
语速,nsym
减慢,vdescription
声音,nsym
低沉,adescription
对答,vsym 
困难,adescription
交流,vsym
顺利,adescription
意志,nsym
活动,nsym
减退,vdescription
行为,nsym 
生活,nsym
被动,vdescription
疏懒,vsym
做事,vsym
接触,vsym
交往,vsym
独坐,vsym
卧床,vsym
闭门,vsym
独居,vsym
疏远,vsym
亲友,nsym
回避,vsym
社交,nsym
蓬头垢面,isym
不修边幅,isym
心情不好,isym
语,vsym
动,vsym
食,vsym
不被理解,isym
坐立不安,isym
搓手顿足,isym
踱来,vsym
踱去,vsym
观念,nsym
缺乏,vsym
自信心,nsym
自信,nsym 
认知,vsym
功能,nsym 
损害,vdescription
记忆力,nsym
下降,vdescription
注意力,nsym
障碍,adescription
反应时间,nsym
延长,vdescription
警觉性,nsym
增高,vdescription
抽象思维,nsym
差,vdescription
学习,vsym
困难,adescription
说话,nsym
不流畅,adescription
知觉,nsym
眼,nsym
手,nsym
协调,vdescription
思维,nsym
灵活性,nsym 
睡眠,nsym 
睡眠障碍,isym
过多,adescription
乏力,vsym
食欲,nsym
减退,vdescription
节食,vdescription
体重,nsym
下降,vdescription
便秘,vsym
身体,nsym
部位,nsym
疼痛,vdescription
性欲,nsym
减退,vdescription
阳痿,vsym
闭经,vsym
恶心,nsym
呕吐,vsym
心慌,vsym
胸闷,vsym
出汗,vsym
醒,vsym
入睡,vsym
闷闷不乐,isym
困难,adescription
睡眠,nsym
深,adescription
多,adescription
减轻,vdescription 
增强,vdescription 
增加,vdescription 
兴趣,nsym
缺乏,vdescription 
乐趣,nsym
丧失,vdescription 
精力,nsym
不足,vdescription 
疲劳,nsym
疲倦,nsym
自信心,nsym
自卑,vsym
自罪,vsym
迟缓,adescription
集中,vdescription 
下降,vdescription 
反应,nsym
迟钝,adescription  
学习,vsym
效率,nsym
低下,adescription 
工作,vsym
性功能,nsym 
改变,vdescription
心烦意乱,isym
哭泣,vsym
发脾气,vsym
愉快感,nsym
丧失,vdescription
好,adescription  
浑身,nsym
没劲,vdescription
焦虑,nsym
睡眠,nsym
紊乱,adescription
食欲,nsym 
精力,nsym 
不适,adescription
自主神经,nsym
心慌,vsym
胸闷,vsym
胃口,nsym
麻木,nsym
疲乏,nsym
神情恍惚,isym
无力,adescription
舒服,adescription
动力,nsym
浅,adescription
梦,nsym
醒来,vsym
醒,vsym
焦躁,asym
耐烦,asym
愤怒,asym
内疚,nsym
无用,nsym
安全感,nsym
消极,nsym
不安全感,nsym
邋遢,adescription
个人卫生,nsym
做决定,vsym
挫折感,nsym
厌恶,nsym
自杀,vsym
自杀未遂,vsym
自杀未遂,nsym
念头,nsym
情绪高涨,isym
情绪低落,isym
奔逸,vdescription
高,adescription
兴奋,adescription
冲动,vsym
滔滔不绝,isym
高谈阔论,isym
夸大,vsym
情绪,nsym
低,adescription
快乐,adescription
意念,nsym
自杀,vsym
运动,vsym
抑制,adescription
忧愁,asym
伤感,asym
皱眉,vsym
叹气,vsym
伤害自己,vsym
流眼泪,vsym
记不住事,nsym
思考问题,nsym
空空的,adescription
笨,adescription
发懒,vdescription
少,adescription
自理,vdescription
心情,nsym
压抑,adescription
悲观失望,isym
悲痛欲绝,isym
低,adescription
苦恼,asym
忧伤,asym
索然,adescription
痛苦,asym
难熬,asym
意思,nsym
联想,vsym
过程,nsym
反应迟钝,isym
主动性,nsym
费力,adescription
慢,adescription
低,adescription
活着,vsym
悲观厌世,isym
打算,nsym
参加,vsym
外界,adescription
独处,vsym
懒散,adescription
语,vsym
木僵,nsym
企图,nsym
心悸,vsym
胃肠,nsym
体重,nsym
减轻,vdescription
人格解体,nsym
强迫症,nsym
恐怖,adescription
症状,nsym
头晕,vsym
头痛,vsym
无力,vsym
失眠,vsym
心情,nsym
紧张,adescription
烦恼,adescription
激惹,vsym
肌肉,nsym
紧张性,nsym
痛,adescription
生理功能,nsym
想死,vsym
自知力,nsym
主动,adescription
求治,vsym
头疼,vsym
心悸,vsym
气短,vsym
四肢,nsym
麻木,adescription
心情沉重,isym
没意思,adescription
高兴,adescription
郁郁寡欢,isym
紧张不安,nsym
热忱,nsym
爱好,nsym
不屑一顾,isym
亲友,nsym
感情,nsym
高兴,adescription
力不从心,isym
精神,nsym
崩溃,vdescription
泄气,vsym
低,adescription
一无是处,isym
前途,nsym
心慌,isym
黑暗,adescription
行动迟缓,isym
不安,asym
激越,asym
内心,nsym
痛苦,asym
负担,nsym
波动,vsym
食欲不振,isym
胃口,nsym
差,adescription
诱惑力,nsym
茶饭,nsym
食之无味,isym
减低,vdescription
性感,nsym
缺失,vdescription
早醒,vsym
悲哀,adescription
昼重夜轻,isym
低潮,nsym
烦躁,adescription
消瘦,vsym
恐惧,nsym
胆小,asym
扭曲,vdescription
胡思乱想,isym
不想活,vsym
哭,vsym
快感,nsym
缺失,vdescription
精神运动性,nsym
迟滞,adescription
激越,adescription
缺失,vdescription
尿频,nsym
尿急,nsym
便秘,vsym
爱哭,vsym
睡觉,vsym
跳楼,vsym
拿刀,vsym
消沉,vdescription
厌世,vsym
多梦,vsym
内疚感,nsym
自觉,nsym
思考,vsym
能力,nsym
早醒,vsym
贪食,vsym
欲望,nsym
缺乐症,nsym
失调,vdescription
失眠症,nsym
饮食,nsym
过量,adescription
心理,nsym
不安,adescription
说话,vsym
犹豫不决,isym
沉默,asym
恍惚,asym
活力,nsym
罪疚感,nsym
麻烦,nsym
动作,nsym
悲伤,asym
灰暗,asym
毫无价值,isym
离群索居,isym
见人,vsym
快感,nsym
缺失,vdescription
条理,asym
烦躁不安,isym
进食,vsym
欲望,asym
营养不良,isym
无精打采,isym
不良情绪,isym
抑郁情绪,isym
懒惰,asym
全身,nsym
周身,nsym
肠道,nsym
胸前,nsym
尿意,nsym
胸闷,isym
神经,nsym
自残,vsym
自我谴责,vsym
规律,nsym
质量,nsym
压抑感,nsym
害怕,vsym
熟人,nsym
服从,vsym
管教,nsym
逃学,vsym
表达能力,nsym
成绩,nsym
差adescription,
离家出走,isym
自残,vsym
嗜睡,vsym
激动,asym
不安,adescription
急躁,asym
呼吸,vsym
乱,adescription
灵魂出窍,isym
控制,vsym
呼吸,vsym
晕死,vsym
想哭,vsym
感到,vsym
孤独,adescription
衰退,vdescription
语,vsym
食,vsym
开心,asym
恐惧,asym
注意力,nsym
记忆,nsym
身痛,vsym
头昏,vsym
眼花,vsym
耳鸣,vsym
坚持,vsym
锻炼,vsym
懒惰,asym
负面,asym
匮乏,vdescription
遇事,vsym
退缩,vsym
社交活动,nsym
封闭,vsym
慢,adescription
语音,nsym
语量,nsym
少,adescription
应答,vsym
迟钝,adescription
自伤,vsym
危险性,nsym
行动,vsym
缄默,vsym
不语,vsym
面容,nsym
憔悴,adescription
苍老,adescription
目光,nsym
体质,nsym
全身,nsym
空虚,asym
提不起,vsym
劲,nsym
价值,nsym
罪恶感,nsym
持久,adescription
不能自拔,isym
苦闷,asym
愁眉不展,isym
随遇而安,isym
不思进取,isym
决断,vsym
悔恨,vsym
失去,vsym
自信,nsym
善感,nsym
多疑,asym
丢三落四,isym
脾气,nsym
变坏,vsym
易怒,asym
易醒,asym
惴惴不安,isym
厌食,vsym
腹胀,vsym
腹泻,vsym
胃痛,vsym
淡漠,adescription
腰痛,vsym
胃部,nsym
不适,adescription
欠佳,adescription
气急,nsym
昼重夕轻,isym
大增,vsym
增加,vsym
沉重,adescription
肢体,nsym
如同灌铅,adescription
评价,nsym
敏感,adescription
人际,nsym
需求,nsym
郁闷,adescription
沮丧,vsym
热情,nsym
缺乏,vsym
自信,nsym
信心,nsym
轻生,nsym
躯体,nsym
受影响,vsym
月经,nsym
矛盾,nsym
过敏,vsym
水肿,vsym
腹泻,vsym
乳房,nsym
肿胀,vdescription
孕期,nsym
厌食,vsym
未遂,adescription
精神病,nsym
增多,vdescription
轻度,adescription
挥霍,vsym
社交性,nsym
躁狂,nsym
约束力,nsym
观念,nsym
飘忽,vdescription
高,adescription
出格,adescription
脾气,nsym
暴躁,adescription
暴食,vsym
发呆,vsym
走神,vsym
静坐,vsym
外出,vsym
听,vsym
对抗,vsym
父母,nsym
暴力,nsym
发热,vsym
忽冷忽热,isym
潮热,asym
心跳,vsym
加快,vdescription
血压,nsym
升高,vdescription
失禁,vsym
阴毛,nsym
脱落,vdescription
腋毛,nsym
脱发,vsym
阴道,nsym
分泌物,nsym
肥胖,asym
关节,nsym
骨质,nsym
疏松,adescription
心烦,asym
担心,vsym
失控,vsym
优柔寡断,isym
能力,nsym
差,adescription
无助,nsym
无望,nsym
否定,vsym
自己,nsym
拖累,vsym
别人,nsym
死亡,vsym
上吊,vsym
割腕,vsym
烧炭,vsym
吃药,vsym
语,vsym
食,vsym
认为,vsym
患病,vsym
失眠,vsym
亢进,adescription
脖子,nsym
口干,vsym
视物,nsym
模糊,adescription
喉头,nsym
肿胀,vdescription
胃部,nsym
灼烧,vdescription
消化不良,isym
自我,nsym
援引,vdescription
被害,vsym
躯体,nsym
疾病,nsym
大祸临头,isym
谴责,vsym
幻听,vsym
头,nsym
眼睛,nsym
手臂,nsym
大腿,nsym
小腿,nsym
脚,nsym
胸部,nsym
背部,nsym
上吊,vsym
割腕,vsym
喝药,vsym
踌躇,vsym
精力充沛,isym
自信,adescription
兴高采烈,isym
提高,vdescription
争吵,vsym
争执,vsym
坐卧不宁,isym
坐卧不安,isym
轻率,vsym
负责任,vsym
愚蠢,asym
鲁莽,asym
亲昵,asym
出格,adescription
思想,nsym
自我,nsym
喜爱,vsym
心烦,vsym
担心,vsym
失控,vsym
优柔寡断,isym
少语,vsym
少食,vsym
不食,vsym
